L,d,r,p,q,samples,mi_0,mi_1,mi_2,mi_3,mi_4,mi_5,mi_6,mi_7,mi_8,mi_9,mi_10
48,6,3,0.0175,6,3747,0.6666666666666666,0.6666666666666666,0.625,0.5833333333333334,0.4791666666666667,0.4791666666666667,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667
48,6,3,0.0175,6,3748,0.6666666666666666,0.6041666666666666,0.5833333333333334,0.5625,0.5625,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.4791666666666667,0.4583333333333333
48,6,3,0.0175,6,3749,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.5625,0.5625,0.5625,0.5416666666666666,0.5416666666666666
48,6,3,0.0175,6,3750,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.5625,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.4791666666666667
48,6,3,0.0175,6,3751,0.6666666666666666,0.6458333333333334,0.625,0.5625,0.5208333333333334,0.4583333333333333,0.4583333333333333,0.4375,0.4375,0.4375,0.4375
48,6,3,0.0175,6,3752,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.625,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5625,0.4583333333333333,0.4375,0.4166666666666667
48,6,3,0.0175,6,3753,0.6666666666666666,0.6458333333333334,0.625,0.5833333333333334,0.5208333333333334,0.5,0.5,0.5,0.4791666666666667,0.4791666666666667,0.4791666666666667
48,6,3,0.0175,6,3754,0.6666666666666666,0.6041666666666666,0.5833333333333334,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333
48,6,3,0.0175,6,3755,0.6666666666666666,0.625,0.6041666666666666,0.5625,0.5416666666666666,0.5,0.4791666666666667,0.4583333333333333,0.3958333333333333,0.3958333333333333,0.375
48,6,3,0.0175,6,3756,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.5833333333333334,0.5416666666666666,0.5,0.5,0.5,0.4791666666666667,0.4791666666666667,0.4791666666666667
48,6,3,0.0175,6,3757,0.6666666666666666,0.6041666666666666,0.6041666666666666,0.5625,0.5208333333333334,0.4791666666666667,0.3958333333333333,0.375,0.375,0.3541666666666667,0.3541666666666667
48,6,3,0.0175,6,3758,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6041666666666666,0.5833333333333334,0.5625,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5
48,6,3,0.0175,6,3759,0.6666666666666666,0.6041666666666666,0.5625,0.5416666666666666,0.5208333333333334,0.5,0.4791666666666667,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667
48,6,3,0.0175,6,3760,0.6666666666666666,0.6458333333333334,0.625,0.5833333333333334,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5,0.5,0.4791666666666667,0.4791666666666667
